step,t_s,waypoint_x,waypoint_y,expected_x,expected_y,actual_x,actual_y,expected_error,actual_error
0,0.1,1,0.8,0.00937043,0.00749634,0.00937043,0.00749634,1.26862,1.26862
1,0.2,1,0.8,0.0281113,0.022489,0.0281113,0.022489,1.24462,1.24462
2,0.3,1,0.8,0.0562226,0.044978,0.0562226,0.044978,1.20862,1.20862
3,0.4,1,0.8,0.0937043,0.0749634,0.0937043,0.0749634,1.16062,1.16062
4,0.5,1,0.8,0.140556,0.112445,0.140556,0.112445,1.10062,1.10062
5,0.6,1,0.8,0.196779,0.157423,0.196779,0.157423,1.02862,1.02862
6,0.7,1,0.8,0.261717,0.209373,0.261717,0.209373,0.945464,0.945464
7,0.8,1,0.8,0.334068,0.267254,0.334068,0.267254,0.852809,0.852809
8,0.9,1,0.8,0.412487,0.329989,0.412487,0.329989,0.752384,0.752384
9,1,1,0.8,0.495602,0.396481,0.495602,0.396481,0.645945,0.645945
10,1.1,1,0.8,0.582038,0.46563,0.582038,0.46563,0.535253,0.535253
11,1.2,1,0.8,0.670436,0.536349,0.670436,0.536349,0.422048,0.422048
12,1.3,1,0.8,0.75947,0.607576,0.75947,0.607576,0.308028,0.308028
13,1.4,1,0.8,0.847866,0.678292,0.847866,0.678292,0.194827,0.194827
14,1.5,1,0.8,0.934413,0.74753,0.934413,0.74753,0.0839927,0.0839927
15,1.6,1,0.8,1.01798,0.814387,1.01798,0.814387,0.0230301,0.0230301
16,1.7,1,0.8,1.09754,0.878033,1.09754,0.878033,0.124914,0.124914
17,1.8,1,0.8,1.17215,0.937724,1.17215,0.937724,0.220465,0.220465
18,1.9,1,0.8,1.241,0.992799,1.24204,0.993635,0.30863,0.309967
19,2,1,0.8,1.30337,1.0427,1.3054,1.04432,0.388506,0.391102
20,2.1,2.2,1.8,1.37485,1.10041,1.37786,1.10282,1.0818,1.07795
21,2.2,2.2,1.8,1.45467,1.16531,1.45858,1.16844,0.978948,0.973947
22,2.3,2.2,1.8,1.54133,1.23619,1.54604,1.23996,0.867023,0.860996
23,2.4,2.2,1.8,1.63332,1.31176,1.63872,1.3161,0.748003,0.741082
24,2.5,2.2,1.8,1.72909,1.39077,1.73638,1.39665,0.623877,0.61452
25,2.6,2.2,1.8,1.82715,1.47196,1.83751,1.48035,0.496618,0.483297
26,2.7,2.2,1.8,1.92602,1.55408,1.94192,1.56704,0.368162,0.347676
27,2.8,2.2,1.8,2.02427,1.63595,2.0494,1.65653,0.240402,0.207999
28,2.9,2.2,1.8,2.12056,1.71643,2.15974,1.74863,0.115298,0.065263
29,3,2.2,1.8,2.21363,1.79446,2.2727,1.84314,0.0147156,0.0845332
30,3.1,2.2,1.8,2.30233,1.86906,2.38801,1.93981,0.123451,0.234301
31,3.2,2.2,1.8,2.38559,1.93934,2.50541,2.03843,0.232077,0.387458
32,3.3,2.2,1.8,2.46252,2.0045,2.62456,2.13871,0.332768,0.543114
33,3.4,2.2,1.8,2.5323,2.06386,2.74513,2.24035,0.424322,0.700766
34,3.5,2.2,1.8,2.5943,2.11686,2.86677,2.34305,0.505838,0.859933
35,3.6,2.2,1.8,2.64798,2.16304,2.98911,2.44651,0.576616,1.02013
36,3.7,2.2,1.8,2.69298,2.20206,3.11177,2.55039,0.636143,1.18086
37,3.8,2.2,1.8,2.72905,2.23369,3.23441,2.6544,0.684091,1.34165
38,3.9,2.2,1.8,2.75609,2.25783,3.35663,2.7582,0.720307,1.50198
39,4,2.2,1.8,2.77412,2.27447,3.47801,2.86144,0.744812,1.66131
40,4.1,3.5,1.1,2.7979,2.28057,3.59732,2.95286,1.37357,1.85541
41,4.2,3.5,1.1,2.82721,2.27603,3.714,3.03256,1.35488,1.94437
42,4.3,3.5,1.1,2.86188,2.26075,3.82756,3.10068,1.32459,2.02732
43,4.4,3.5,1.1,2.90169,2.23463,3.93755,3.15735,1.28271,2.10336
44,4.5,3.5,1.1,2.9464,2.19755,4.04354,3.2027,1.22926,2.17181
45,4.6,3.5,1.1,2.99575,2.1494,4.14514,3.23688,1.16427,2.23214
46,4.7,3.5,1.1,3.04942,2.09007,4.24198,3.26005,1.08777,2.28393
47,4.8,3.5,1.1,3.10699,2.01954,4.3337,3.27236,1,2.32684
48,4.9,3.5,1.1,3.16746,1.93931,4.41997,3.27398,0.902782,2.36062
49,5,3.5,1.1,3.22987,1.85094,4.50046,3.26509,0.798043,2.38506
50,5.1,3.5,1.1,3.29326,1.75603,4.57485,3.24586,0.687835,2.4
51,5.2,3.5,1.1,3.35668,1.65621,4.64285,3.21648,0.574377,2.40532
52,5.3,3.5,1.1,3.41926,1.55309,4.70414,3.17714,0.460232,2.40093
53,5.4,3.5,1.1,3.48015,1.44828,4.75843,3.12806,0.348841,2.38677
54,5.5,3.5,1.1,3.53858,1.3433,4.80543,3.06945,0.24634,2.36281
55,5.6,3.5,1.1,3.59384,1.23964,4.84483,3.00155,0.168245,2.32905
56,5.7,3.5,1.1,3.64531,1.13869,4.87633,2.92462,0.150368,2.2855
57,5.8,3.5,1.1,3.69242,1.04174,4.89963,2.83893,0.201041,2.23223
58,5.9,3.5,1.1,3.73471,0.949972,4.91441,2.74479,0.278564,2.1693
59,6,3.5,1.1,3.77182,0.864432,4.92035,2.64253,0.359692,2.09685
60,6.1,4.2,2.6,3.81075,0.790752,4.91594,2.54428,1.85065,0.718101
61,6.2,4.2,2.6,3.85121,0.728974,4.9017,2.45122,1.90326,0.717298
62,6.3,4.2,2.6,3.89294,0.679129,4.87828,2.36444,1.94526,0.718019
63,6.4,4.2,2.6,3.93566,0.641244,4.84642,2.28487,1.97651,0.719143
64,6.5,4.2,2.6,3.97911,0.615336,4.80694,2.21328,1.99692,0.719673
65,6.6,4.2,2.6,4.02304,0.601418,4.76074,2.15033,2.0064,0.718773
66,6.7,4.2,2.6,4.06717,0.599499,4.70877,2.09651,2.00491,0.715789
67,6.8,4.2,2.6,4.11125,0.60958,4.65202,2.05216,1.9924,0.710248
68,6.9,4.2,2.6,4.155,0.631656,4.59149,2.01747,1.96886,0.701857
69,7,4.2,2.6,4.19815,0.665717,4.52821,1.9925,1.93428,0.690486
70,7.1,4.2,2.6,4.24041,0.711745,4.46317,1.97716,1.88869,0.676155
71,7.2,4.2,2.6,4.28145,0.769711,4.39738,1.97123,1.8321,0.65902
72,7.3,4.2,2.6,4.32095,0.839578,4.33179,1.97437,1.76457,0.639358
73,7.4,4.2,2.6,4.35854,0.921291,4.2673,1.98613,1.68618,0.617549
74,7.5,4.2,2.6,4.3938,1.01478,4.20478,2.00595,1.59703,0.594068
75,7.6,4.2,2.6,4.42628,1.11993,4.145,2.0332,1.49726,0.569465
76,7.7,4.2,2.6,4.45542,1.23662,4.08868,2.06715,1.3871,0.544352
77,7.8,4.2,2.6,4.48056,1.36462,4.03645,2.10704,1.26684,0.519382
78,7.9,4.2,2.6,4.50088,1.50361,3.98886,2.15203,1.13693,0.495229
79,8,4.2,2.6,4.51607,1.65169,3.94637,2.20128,0.999596,0.472555
